DS,Size,Op,OpCount,Cache,Misses
BadBisect,10000,Base,10000,Ir,480477782
BadBisect,10000,Base,10000,I1mr,10144119
BadBisect,10000,Base,10000,ILmr,46335
BadBisect,10000,Base,10000,Dr,154148470
BadBisect,10000,Base,10000,D1mr,5094446
BadBisect,10000,Base,10000,DLmr,352910
BadBisect,10000,Base,10000,Dw,90987133
BadBisect,10000,Base,10000,D1mw,1581538
BadBisect,10000,Base,10000,DLmw,441367
SortedList,10000,Base,10000,Ir,480484379
SortedList,10000,Base,10000,I1mr,10154922
SortedList,10000,Base,10000,ILmr,46195
SortedList,10000,Base,10000,Dr,154126198
SortedList,10000,Base,10000,D1mr,5166358
SortedList,10000,Base,10000,DLmr,352816
SortedList,10000,Base,10000,Dw,90964270
SortedList,10000,Base,10000,D1mw,1583336
SortedList,10000,Base,10000,DLmw,438899
SortedArray,10000,Base,10000,Ir,480212904
SortedArray,10000,Base,10000,I1mr,10153123
SortedArray,10000,Base,10000,ILmr,46228
SortedArray,10000,Base,10000,Dr,154060016
SortedArray,10000,Base,10000,D1mr,5104624
SortedArray,10000,Base,10000,DLmr,352679
SortedArray,10000,Base,10000,Dw,90933371
SortedArray,10000,Base,10000,D1mw,1579963
SortedArray,10000,Base,10000,DLmw,438986
AutoLoad,10000,Base,10000,Ir,480348629
AutoLoad,10000,Base,10000,I1mr,10162041
AutoLoad,10000,Base,10000,ILmr,46283
AutoLoad,10000,Base,10000,Dr,154142252
AutoLoad,10000,Base,10000,D1mr,5043757
AutoLoad,10000,Base,10000,DLmr,352609
AutoLoad,10000,Base,10000,Dw,90983984
AutoLoad,10000,Base,10000,D1mw,1584410
AutoLoad,10000,Base,10000,DLmw,440668
RBSTree,10000,Base,10000,Ir,1033468979
RBSTree,10000,Base,10000,I1mr,18247765
RBSTree,10000,Base,10000,ILmr,50983
RBSTree,10000,Base,10000,Dr,337158972
RBSTree,10000,Base,10000,D1mr,9538029
RBSTree,10000,Base,10000,DLmr,357344
RBSTree,10000,Base,10000,Dw,194600490
RBSTree,10000,Base,10000,D1mw,4223246
RBSTree,10000,Base,10000,DLmw,562451
SkipList,10000,Base,10000,Ir,720362914
SkipList,10000,Base,10000,I1mr,14805033
SkipList,10000,Base,10000,ILmr,49777
SkipList,10000,Base,10000,Dr,231291535
SkipList,10000,Base,10000,D1mr,7137585
SkipList,10000,Base,10000,DLmr,358038
SkipList,10000,Base,10000,Dw,134384754
SkipList,10000,Base,10000,D1mw,2600182
SkipList,10000,Base,10000,DLmw,504774
BadBisect,10000,Add,10000,Ir,557071237
BadBisect,10000,Add,10000,I1mr,11118390
BadBisect,10000,Add,10000,ILmr,48246
BadBisect,10000,Add,10000,Dr,179143616
BadBisect,10000,Add,10000,D1mr,5740286
BadBisect,10000,Add,10000,DLmr,355107
BadBisect,10000,Add,10000,Dw,107743568
BadBisect,10000,Add,10000,D1mw,1898522
BadBisect,10000,Add,10000,DLmw,452287
SortedList,10000,Add,10000,Ir,557322725
SortedList,10000,Add,10000,I1mr,11089318
SortedList,10000,Add,10000,ILmr,48190
SortedList,10000,Add,10000,Dr,179385581
SortedList,10000,Add,10000,D1mr,5723253
SortedList,10000,Add,10000,DLmr,355206
SortedList,10000,Add,10000,Dw,107827094
SortedList,10000,Add,10000,D1mw,1890366
SortedList,10000,Add,10000,DLmw,453856
SortedArray,10000,Add,10000,Ir,557406189
SortedArray,10000,Add,10000,I1mr,11126951
SortedArray,10000,Add,10000,ILmr,48605
SortedArray,10000,Add,10000,Dr,179400562
SortedArray,10000,Add,10000,D1mr,5736479
SortedArray,10000,Add,10000,DLmr,355269
SortedArray,10000,Add,10000,Dw,107874999
SortedArray,10000,Add,10000,D1mw,1883792
SortedArray,10000,Add,10000,DLmw,455530
AutoLoad,10000,Add,10000,Ir,556161562
AutoLoad,10000,Add,10000,I1mr,11399002
AutoLoad,10000,Add,10000,ILmr,48356
AutoLoad,10000,Add,10000,Dr,178532067
AutoLoad,10000,Add,10000,D1mr,5602118
AutoLoad,10000,Add,10000,DLmr,355631
AutoLoad,10000,Add,10000,Dw,105640610
AutoLoad,10000,Add,10000,D1mw,1907054
