DS,Size,Op,OpCount,Time(s)
Blist,10000,Delete,9999,0.007006168365478516
RBSTree,10000,Delete,9999,0.36299896240234375
SCArray,10000,Delete,9999,0.015001058578491211
SCAutoBalance,10000,Delete,9999,0.01999974250793457
SCPyBisect,10000,Delete,9999,0.01399993896484375
Skiplist,10000,Delete,9999,0.08699727058410645
SortedContainer,10000,Delete,9999,0.015998363494873047
Blist,100000,Delete,99999,0.09400534629821777
RBSTree,100000,Delete,99999,5.211999416351318
SCArray,100000,Delete,99999,0.23600482940673828
SCAutoBalance,100000,Delete,99999,0.29399991035461426
SCPyBisect,100000,Delete,99999,0.23299837112426758
Skiplist,100000,Delete,99999,1.19700026512146
SortedContainer,100000,Delete,99999,0.2319936752319336
Blist,1000000,Delete,166666,0.24500584602355957
RBSTree,1000000,Delete,166666,12.346001625061035
SCArray,1000000,Delete,166666,0.6129920482635498
SCAutoBalance,1000000,Delete,166666,0.6929998397827148
SCPyBisect,1000000,Delete,166666,0.5879991054534912
Skiplist,1000000,Delete,166666,2.893998861312866
SortedContainer,1000000,Delete,166666,0.6840317249298096
Blist,10000000,Delete,142857,0.4250006675720215
RBSTree,10000000,Delete,142857,13.501000881195068
SCArray,10000000,Delete,142857,0.791001558303833
SCAutoBalance,10000000,Delete,142857,0.870995283126831
SCPyBisect,10000000,Delete,142857,0.7430245876312256
Skiplist,10000000,Delete,142857,3.4150068759918213
SortedContainer,10000000,Delete,142857,0.8939921855926514
Blist,10000,Remove,10000,0.05600094795227051
RBSTree,10000,Remove,10000,0.33500003814697266
SCArray,10000,Remove,10000,0.011001348495483398
SCAutoBalance,10000,Remove,10000,0.009997129440307617
SCPyBisect,10000,Remove,10000,0.02199864387512207
Skiplist,10000,Remove,10000,0.08099913597106934
SortedContainer,10000,Remove,10000,0.010997772216796875
Blist,100000,Remove,200000,0.7950000762939453
RBSTree,100000,Remove,200000,4.714031457901001
SCArray,100000,Remove,200000,0.12496280670166016
SCAutoBalance,100000,Remove,200000,0.12896966934204102
SCPyBisect,100000,Remove,200000,0.28302860260009766
Skiplist,100000,Remove,200000,1.220000982284546
SortedContainer,100000,Remove,200000,0.11899518966674805
Blist,1000000,Remove,166666,2.4509968757629395
RBSTree,1000000,Remove,166666,11.279999256134033
SCArray,1000000,Remove,166666,0.34099745750427246
SCAutoBalance,1000000,Remove,166666,0.30201053619384766
SCPyBisect,1000000,Remove,166666,0.6799695491790771
Skiplist,1000000,Remove,166666,2.9880032539367676
SortedContainer,1000000,Remove,166666,0.31999874114990234
Blist,10000000,Remove,142857,3.4509992599487305
RBSTree,10000000,Remove,142857,12.18899917602539
SCArray,10000000,Remove,142857,0.41196703910827637
SCAutoBalance,10000000,Remove,142857,0.3650047779083252
SCPyBisect,10000000,Remove,142857,0.7910079956054688
Skiplist,10000000,Remove,142857,3.5849950313568115
SortedContainer,10000000,Remove,142857,0.38500475883483887
Blist,10000,Add,10000,0.06299901008605957
RBSTree,10000,Add,10000,0.16900062561035156
SCArray,10000,Add,10000,0.011998891830444336
SCAutoBalance,10000,Add,10000,0.013000965118408203
SCPyBisect,10000,Add,10000,0.026006221771240234
Skiplist,10000,Add,10000,0.09199976921081543
SortedContainer,10000,Add,10000,0.011000633239746094
Blist,100000,Add,200000,1.8960003852844238
RBSTree,100000,Add,200000,4.659001588821411
SCArray,100000,Add,200000,0.2799997329711914
SCAutoBalance,100000,Add,200000,0.30699586868286133
SCPyBisect,100000,Add,200000,0.6559982299804688
Skiplist,100000,Add,200000,2.7360000610351562
SortedContainer,100000,Add,200000,0.25499892234802246
Blist,1000000,Add,166666,1.9210002422332764
RBSTree,1000000,Add,166666,4.315969705581665
SCArray,1000000,Add,166666,0.24299860000610352
SCAutoBalance,1000000,Add,166666,0.2579977512359619
SCPyBisect,1000000,Add,166666,0.590003490447998
Skiplist,1000000,Add,166666,2.5530011653900146
SortedContainer,1000000,Add,166666,0.2169969081878662
Blist,10000000,Add,142857,2.0679991245269775
RBSTree,10000000,Add,142857,3.8799939155578613
SCArray,10000000,Add,142857,0.2109990119934082
SCAutoBalance,10000000,Add,142857,0.22799992561340332
SCPyBisect,10000000,Add,142857,0.5429973602294922
Skiplist,10000000,Add,142857,2.239001512527466
SortedContainer,10000000,Add,142857,0.19102954864501953
Blist,10000,Select,4194304,1.2540068626403809
RBSTree,10000,Select,524288,1.9899675846099854
SCArray,10000,Select,1048576,1.18499755859375
SCAutoBalance,10000,Select,1048576,1.4379987716674805
SCPyBisect,10000,Select,1048576,1.1719985008239746
Skiplist,10000,Select,262144,1.2500011920928955
SortedContainer,10000,Select,1048576,1.1910057067871094
Blist,100000,Select,4194304,1.4419991970062256
RBSTree,100000,Select,262144,1.5039982795715332
SCArray,100000,Select,1048576,1.6709988117218018
SCAutoBalance,100000,Select,1048576,1.9289960861206055
