DS,Size,Op,OpCount,Time(s)
Skiplist,10000,Delete,9999,0.06405806541442871
SortedArray,10000,Delete,9999,0.029256105422973633
SortedContainer,10000,Delete,9999,0.02362370491027832
AutoLoad,10000,Delete,9999,0.023697376251220703
Skiplist,100000,Delete,99999,0.38360095024108887
SortedArray,100000,Delete,99999,0.0936133861541748
SortedContainer,100000,Delete,99999,0.08138608932495117
AutoLoad,100000,Delete,99999,0.07090973854064941
Skiplist,1000000,Delete,166666,1.1163232326507568
SortedArray,1000000,Delete,166666,0.1878185272216797
SortedContainer,1000000,Delete,166666,0.12720417976379395
AutoLoad,1000000,Delete,166666,0.13291597366333008
Skiplist,10000000,Delete,142857,1.5578193664550781
SortedArray,10000000,Delete,142857,0.4129033088684082
SortedContainer,10000000,Delete,142857,0.3221461772918701
AutoLoad,10000000,Delete,142857,0.5239508152008057
Skiplist,10000,Remove,10000,0.08922505378723145
SortedArray,10000,Remove,10000,0.09621810913085938
SortedContainer,10000,Remove,10000,0.06258249282836914
AutoLoad,10000,Remove,10000,0.0574641227722168
Skiplist,100000,Remove,200000,0.8780996799468994
SortedArray,100000,Remove,200000,0.85671067237854
SortedContainer,100000,Remove,200000,0.35081028938293457
AutoLoad,100000,Remove,200000,0.33667564392089844
Skiplist,1000000,Remove,166666,2.4212398529052734
SortedArray,1000000,Remove,166666,2.8478429317474365
SortedContainer,1000000,Remove,166666,1.0117666721343994
AutoLoad,1000000,Remove,166666,1.0332832336425781
Skiplist,10000000,Remove,142857,3.222609758377075
SortedArray,10000000,Remove,142857,3.073265314102173
SortedContainer,10000000,Remove,142857,1.3136436939239502
AutoLoad,10000000,Remove,142857,1.7442822456359863
Skiplist,10000,Add,10000,0.2011120319366455
SortedArray,10000,Add,10000,0.1124577522277832
SortedContainer,10000,Add,10000,0.12331080436706543
AutoLoad,10000,Add,10000,0.12059879302978516
Skiplist,100000,Add,200000,4.026402473449707
SortedArray,100000,Add,200000,1.2478716373443604
SortedContainer,100000,Add,200000,2.1878342628479004
AutoLoad,100000,Add,200000,13.314614534378052
Skiplist,1000000,Add,166666,7.837818384170532
SortedArray,1000000,Add,166666,1.9142520427703857
SortedContainer,1000000,Add,166666,4.04010796546936
AutoLoad,1000000,Add,166666,3.5432913303375244
Skiplist,10000000,Add,142857,7.360533714294434
SortedArray,10000000,Add,142857,1.9879438877105713
SortedContainer,10000000,Add,142857,3.5430517196655273
AutoLoad,10000000,Add,142857,4.274113893508911
